team1,team2,season,toss_winner,toss_decision,winner,venue,result,result_margin,target_runs
Kolkata Knight Riders,Rajasthan Royals,1,Rajasthan Royals,field,Rajasthan Royals,Eden Gardens,wickets,6.0,148.0
Chennai Super Kings,Royal Challengers Bangalore,1,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",runs,1.0,190.0
Mumbai Indians,Kings XI Punjab,1,Mumbai Indians,field,Kings XI Punjab,Wankhede Stadium,runs,14.0,127.0
Kings XI Punjab,Deccan Chargers,1,Kings XI Punjab,field,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",wickets,6.0,176.0
Chennai Super Kings,Rajasthan Royals,1,Rajasthan Royals,bat,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",wickets,5.0,177.0
Delhi Daredevils,Mumbai Indians,1,Delhi Daredevils,field,Delhi Daredevils,Feroz Shah Kotla,runs,10.0,212.0
Kolkata Knight Riders,Kings XI Punjab,1,Kings XI Punjab,bat,Kolkata Knight Riders,Eden Gardens,wickets,5.0,166.0
Deccan Chargers,Royal Challengers Bangalore,1,Deccan Chargers,bat,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",wickets,3.0,175.0
Rajasthan Royals,Mumbai Indians,1,Rajasthan Royals,field,Rajasthan Royals,Sawai Mansingh Stadium,wickets,5.0,146.0
Deccan Chargers,Chennai Super Kings,1,Deccan Chargers,bat,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",wickets,7.0,148.0
Kings XI Punjab,Rajasthan Royals,1,Rajasthan Royals,field,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",wickets,9.0,123.0
Royal Challengers Bangalore,Mumbai Indians,1,Mumbai Indians,field,Mumbai Indians,M Chinnaswamy Stadium,runs,41.0,222.0
Delhi Daredevils,Rajasthan Royals,1,Delhi Daredevils,field,Rajasthan Royals,Wankhede Stadium,runs,105.0,193.0
Chennai Super Kings,Kings XI Punjab,1,Kings XI Punjab,bat,Chennai Super Kings,Wankhede Stadium,wickets,9.0,113.0
Chennai Super Kings,Rajasthan Royals,1,Rajasthan Royals,field,Rajasthan Royals,Dr DY Patil Sports Academy,wickets,3.0,164.0
Royal Challengers Bangalore,Rajasthan Royals,2,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Newlands,runs,19.0,166.0
Chennai Super Kings,Mumbai Indians,2,Chennai Super Kings,field,Mumbai Indians,Newlands,runs,75.0,134.0
Deccan Chargers,Kolkata Knight Riders,2,Kolkata Knight Riders,bat,Deccan Chargers,Newlands,wickets,10.0,54.0
Delhi Daredevils,Kings XI Punjab,2,Delhi Daredevils,field,Delhi Daredevils,Newlands,wickets,8.0,102.0
Royal Challengers Bangalore,Chennai Super Kings,2,Chennai Super Kings,bat,Chennai Super Kings,St George's Park,runs,92.0,180.0
Kings XI Punjab,Kolkata Knight Riders,2,Kolkata Knight Riders,field,Kolkata Knight Riders,Kingsmead,runs,11.0,69.0
Royal Challengers Bangalore,Deccan Chargers,2,Deccan Chargers,bat,Deccan Chargers,Newlands,runs,24.0,185.0
Chennai Super Kings,Delhi Daredevils,2,Delhi Daredevils,bat,Delhi Daredevils,Kingsmead,runs,9.0,190.0
