team1,team2,season,toss_winner,toss_decision,winner,venue,result,result_margin,target_runs
Kings XI Punjab,Rajasthan Royals,4,Rajasthan Royals,field,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",runs,48.0,196.0
Mumbai Indians,Chennai Super Kings,4,Chennai Super Kings,field,Mumbai Indians,Wankhede Stadium,runs,8.0,165.0
Kolkata Knight Riders,Royal Challengers Bangalore,4,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Eden Gardens,wickets,9.0,172.0
Delhi Daredevils,Kings XI Punjab,4,Kings XI Punjab,field,Delhi Daredevils,Feroz Shah Kotla,runs,29.0,232.0
Deccan Chargers,Mumbai Indians,4,Deccan Chargers,field,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",runs,37.0,173.0
Rajasthan Royals,Kochi Tuskers Kerala,4,Rajasthan Royals,field,Rajasthan Royals,Sawai Mansingh Stadium,wickets,8.0,110.0
Chennai Super Kings,Pune Warriors,4,Pune Warriors,field,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",runs,25.0,143.0
Delhi Daredevils,Royal Challengers Bangalore,4,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Feroz Shah Kotla,wickets,3.0,161.0
Kochi Tuskers Kerala,Deccan Chargers,4,Kochi Tuskers Kerala,field,Deccan Chargers,Nehru Stadium,wickets,8.0,142.0
Pune Warriors,Chennai Super Kings,4,Pune Warriors,bat,Chennai Super Kings,Dr DY Patil Sports Academy,runs,55.0,130.0
Delhi Daredevils,Kolkata Knight Riders,4,Delhi Daredevils,field,Kolkata Knight Riders,Feroz Shah Kotla,runs,17.0,149.0
Royal Challengers Bangalore,Pune Warriors,4,Pune Warriors,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,wickets,7.0,95.0
Rajasthan Royals,Mumbai Indians,4,Rajasthan Royals,field,Rajasthan Royals,Sawai Mansingh Stadium,runs,26.0,182.0
Kolkata Knight Riders,Kings XI Punjab,4,Kolkata Knight Riders,field,Kolkata Knight Riders,Eden Gardens,runs,38.0,158.0
Kochi Tuskers Kerala,Delhi Daredevils,4,Delhi Daredevils,bat,Delhi Daredevils,Nehru Stadium,wickets,8.0,120.0
Rajasthan Royals,Pune Warriors,4,Rajasthan Royals,field,Rajasthan Royals,Sawai Mansingh Stadium,wickets,6.0,144.0
Chennai Super Kings,Deccan Chargers,4,Chennai Super Kings,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",runs,19.0,166.0
Delhi Daredevils,Kochi Tuskers Kerala,4,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,Feroz Shah Kotla,runs,23.0,160.0
Mumbai Indians,Kings XI Punjab,4,Kings XI Punjab,field,Mumbai Indians,Wankhede Stadium,wickets,7.0,141.0
Deccan Chargers,Kolkata Knight Riders,4,Deccan Chargers,field,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",runs,20.0,170.0
Chennai Super Kings,Rajasthan Royals,4,Rajasthan Royals,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",wickets,8.0,148.0
Pune Warriors,Mumbai Indians,4,Pune Warriors,field,Mumbai Indians,Dr DY Patil Sports Academy,runs,21.0,161.0
Kochi Tuskers Kerala,Kolkata Knight Riders,4,Kolkata Knight Riders,field,Kochi Tuskers Kerala,Nehru Stadium,runs,17.0,157.0
Deccan Chargers,Delhi Daredevils,4,Delhi Daredevils,field,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",wickets,4.0,176.0
Royal Challengers Bangalore,Kings XI Punjab,4,Kings XI Punjab,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,runs,85.0,206.0
Mumbai Indians,Delhi Daredevils,4,Delhi Daredevils,field,Mumbai Indians,Wankhede Stadium,runs,10.0,52.0
Kolkata Knight Riders,Chennai Super Kings,4,Chennai Super Kings,bat,Kolkata Knight Riders,Eden Gardens,runs,32.0,179.0
Kings XI Punjab,Pune Warriors,4,Kings XI Punjab,bat,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",wickets,9.0,126.0
Royal Challengers Bangalore,Kochi Tuskers Kerala,4,Kochi Tuskers Kerala,bat,Royal Challengers Bangalore,M Chinnaswamy Stadium,wickets,5.0,120.0
Rajasthan Royals,Chennai Super Kings,4,Rajasthan Royals,field,Chennai Super Kings,Sawai Mansingh Stadium,runs,63.0,197.0
Kings XI Punjab,Mumbai Indians,4,Mumbai Indians,field,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",wickets,6.0,137.0
Deccan Chargers,Pune Warriors,4,Deccan Chargers,bat,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",runs,76.0,164.0
Rajasthan Royals,Royal Challengers Bangalore,4,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Sawai Mansingh Stadium,wickets,9.0,147.0
Chennai Super Kings,Delhi Daredevils,4,Chennai Super Kings,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",runs,18.0,177.0
Kochi Tuskers Kerala,Kings XI Punjab,4,Kings XI Punjab,field,Kings XI Punjab,Holkar Cricket Stadium,wickets,6.0,179.0
Mumbai Indians,Deccan Chargers,4,Deccan Chargers,bat,Deccan Chargers,Wankhede Stadium,wickets,4.0,102.0
Royal Challengers Bangalore,Kolkata Knight Riders,4,Royal Challengers Bangalore,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,runs,10.0,136.0
Kochi Tuskers Kerala,Rajasthan Royals,4,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,Holkar Cricket Stadium,runs,29.0,171.0
Kings XI Punjab,Delhi Daredevils,4,Delhi Daredevils,field,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,wickets,8.0,98.0
Pune Warriors,Deccan Chargers,4,Deccan Chargers,field,Deccan Chargers,Dr DY Patil Sports Academy,wickets,6.0,137.0
Kings XI Punjab,Royal Challengers Bangalore,4,Kings XI Punjab,bat,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,runs,111.0,233.0
Chennai Super Kings,Kochi Tuskers Kerala,4,Chennai Super Kings,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",runs,11.0,153.0
Pune Warriors,Kolkata Knight Riders,4,Kolkata Knight Riders,field,Kolkata Knight Riders,Dr DY Patil Sports Academy,wickets,7.0,119.0
Mumbai Indians,Rajasthan Royals,4,Mumbai Indians,bat,Rajasthan Royals,Wankhede Stadium,wickets,10.0,134.0
Kings XI Punjab,Deccan Chargers,4,Kings XI Punjab,field,Deccan Chargers,Himachal Pradesh Cricket Association Stadium,runs,82.0,199.0
Royal Challengers Bangalore,Chennai Super Kings,4,Royal Challengers Bangalore,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,wickets,8.0,129.0
Kolkata Knight Riders,Mumbai Indians,4,Mumbai Indians,field,Mumbai Indians,Eden Gardens,wickets,5.0,176.0
Royal Challengers Bangalore,Chennai Super Kings,4,Chennai Super Kings,field,Chennai Super Kings,Wankhede Stadium,wickets,6.0,176.0
Mumbai Indians,Kolkata Knight Riders,4,Mumbai Indians,field,Mumbai Indians,Wankhede Stadium,wickets,4.0,148.0
Royal Challengers Bangalore,Mumbai Indians,4,Mumbai Indians,field,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",runs,43.0,186.0
Chennai Super Kings,Royal Challengers Bangalore,4,Chennai Super Kings,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",runs,58.0,206.0
Chennai Super Kings,Mumbai Indians,5,Mumbai Indians,field,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",wickets,8.0,113.0
Kolkata Knight Riders,Delhi Daredevils,5,Delhi Daredevils,field,Delhi Daredevils,Eden Gardens,wickets,8.0,98.0
Mumbai Indians,Pune Warriors,5,Mumbai Indians,field,Pune Warriors,Wankhede Stadium,runs,28.0,130.0
Rajasthan Royals,Kings XI Punjab,5,Kings XI Punjab,field,Rajasthan Royals,Sawai Mansingh Stadium,runs,31.0,192.0
Deccan Chargers,Chennai Super Kings,5,Deccan Chargers,field,Chennai Super Kings,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,runs,20.0,158.0
Royal Challengers Bangalore,Delhi Daredevils,5,Delhi Daredevils,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,runs,74.0,194.0
Pune Warriors,Kings XI Punjab,5,Pune Warriors,bat,Pune Warriors,Subrata Roy Sahara Stadium,runs,22.0,165.0
Rajasthan Royals,Kolkata Knight Riders,5,Kolkata Knight Riders,field,Rajasthan Royals,Sawai Mansingh Stadium,runs,22.0,167.0
Deccan Chargers,Mumbai Indians,5,Deccan Chargers,bat,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,wickets,5.0,139.0
Royal Challengers Bangalore,Kolkata Knight Riders,5,Royal Challengers Bangalore,field,Kolkata Knight Riders,M Chinnaswamy Stadium,runs,42.0,166.0
Delhi Daredevils,Chennai Super Kings,5,Delhi Daredevils,field,Delhi Daredevils,Feroz Shah Kotla,wickets,8.0,111.0
Mumbai Indians,Rajasthan Royals,5,Rajasthan Royals,field,Mumbai Indians,Wankhede Stadium,runs,27.0,198.0
Chennai Super Kings,Royal Challengers Bangalore,5,Royal Challengers Bangalore,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",wickets,5.0,206.0
Kings XI Punjab,Pune Warriors,5,Kings XI Punjab,field,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",wickets,7.0,116.0
Kolkata Knight Riders,Rajasthan Royals,5,Rajasthan Royals,bat,Kolkata Knight Riders,Eden Gardens,wickets,5.0,132.0
Pune Warriors,Chennai Super Kings,5,Chennai Super Kings,bat,Pune Warriors,Subrata Roy Sahara Stadium,wickets,7.0,156.0
Royal Challengers Bangalore,Rajasthan Royals,5,Rajasthan Royals,bat,Rajasthan Royals,M Chinnaswamy Stadium,runs,2.0,135.0
Kolkata Knight Riders,Kings XI Punjab,5,Kolkata Knight Riders,field,Kings XI Punjab,Eden Gardens,runs,59.0,196.0
Mumbai Indians,Delhi Daredevils,5,Delhi Daredevils,field,Delhi Daredevils,Wankhede Stadium,wickets,7.0,93.0
Rajasthan Royals,Deccan Chargers,5,Deccan Chargers,bat,Rajasthan Royals,Sawai Mansingh Stadium,wickets,5.0,197.0
Royal Challengers Bangalore,Pune Warriors,5,Pune Warriors,bat,Royal Challengers Bangalore,M Chinnaswamy Stadium,wickets,6.0,183.0
Kings XI Punjab,Kolkata Knight Riders,5,Kings XI Punjab,bat,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",wickets,8.0,125.0
Chennai Super Kings,Pune Warriors,5,Pune Warriors,field,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",wickets,5.0,158.0
Delhi Daredevils,Deccan Chargers,5,Deccan Chargers,bat,Delhi Daredevils,Feroz Shah Kotla,runs,13.0,165.0
Kings XI Punjab,Royal Challengers Bangalore,5,Royal Challengers Bangalore,field,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",wickets,5.0,164.0
Delhi Daredevils,Pune Warriors,5,Delhi Daredevils,field,Pune Warriors,Feroz Shah Kotla,wickets,7.0,147.0
Chennai Super Kings,Rajasthan Royals,5,Rajasthan Royals,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",runs,20.0,193.0
Deccan Chargers,Kolkata Knight Riders,5,Kolkata Knight Riders,field,Kolkata Knight Riders,Barabati Stadium,wickets,6.0,164.0
Mumbai Indians,Kings XI Punjab,5,Mumbai Indians,bat,Kings XI Punjab,Wankhede Stadium,wickets,5.0,127.0
Rajasthan Royals,Royal Challengers Bangalore,5,Rajasthan Royals,field,Royal Challengers Bangalore,Sawai Mansingh Stadium,runs,46.0,190.0
Pune Warriors,Delhi Daredevils,5,Pune Warriors,bat,Delhi Daredevils,Subrata Roy Sahara Stadium,wickets,8.0,147.0
Kings XI Punjab,Mumbai Indians,5,Kings XI Punjab,bat,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",wickets,4.0,169.0
Pune Warriors,Deccan Chargers,5,Deccan Chargers,bat,Deccan Chargers,Subrata Roy Sahara Stadium,runs,18.0,178.0
Delhi Daredevils,Mumbai Indians,5,Mumbai Indians,field,Delhi Daredevils,Feroz Shah Kotla,runs,37.0,208.0
Chennai Super Kings,Kings XI Punjab,5,Kings XI Punjab,bat,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",runs,7.0,157.0
Kolkata Knight Riders,Royal Challengers Bangalore,5,Kolkata Knight Riders,bat,Kolkata Knight Riders,Eden Gardens,runs,47.0,191.0
Mumbai Indians,Deccan Chargers,5,Mumbai Indians,field,Mumbai Indians,Wankhede Stadium,runs,1.0,153.0
Delhi Daredevils,Rajasthan Royals,5,Delhi Daredevils,bat,Delhi Daredevils,Feroz Shah Kotla,wickets,5.0,101.0
Chennai Super Kings,Kolkata Knight Riders,5,Chennai Super Kings,bat,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",wickets,5.0,140.0
Deccan Chargers,Pune Warriors,5,Deccan Chargers,bat,Deccan Chargers,Barabati Stadium,runs,13.0,187.0
Rajasthan Royals,Delhi Daredevils,5,Rajasthan Royals,bat,Delhi Daredevils,Sawai Mansingh Stadium,wickets,6.0,142.0
Royal Challengers Bangalore,Kings XI Punjab,5,Kings XI Punjab,field,Kings XI Punjab,M Chinnaswamy Stadium,wickets,4.0,159.0
Pune Warriors,Mumbai Indians,5,Mumbai Indians,bat,Mumbai Indians,Subrata Roy Sahara Stadium,runs,1.0,121.0
Chennai Super Kings,Deccan Chargers,5,Chennai Super Kings,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",runs,10.0,161.0
Kings XI Punjab,Rajasthan Royals,5,Rajasthan Royals,bat,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",runs,7.0,151.0
Kolkata Knight Riders,Pune Warriors,5,Kolkata Knight Riders,bat,Kolkata Knight Riders,Eden Gardens,runs,43.0,178.0
Mumbai Indians,Chennai Super Kings,5,Mumbai Indians,field,Mumbai Indians,Wankhede Stadium,wickets,2.0,174.0
Royal Challengers Bangalore,Deccan Chargers,5,Royal Challengers Bangalore,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,wickets,5.0,182.0
Delhi Daredevils,Kolkata Knight Riders,5,Delhi Daredevils,bat,Kolkata Knight Riders,Feroz Shah Kotla,wickets,6.0,154.0
Pune Warriors,Rajasthan Royals,5,Pune Warriors,bat,Rajasthan Royals,Subrata Roy Sahara Stadium,wickets,7.0,126.0
Deccan Chargers,Kings XI Punjab,5,Deccan Chargers,field,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",runs,25.0,171.0
Mumbai Indians,Royal Challengers Bangalore,5,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Wankhede Stadium,wickets,9.0,142.0
Rajasthan Royals,Chennai Super Kings,5,Chennai Super Kings,field,Chennai Super Kings,Sawai Mansingh Stadium,wickets,9.0,188.0
Deccan Chargers,Delhi Daredevils,5,Deccan Chargers,bat,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",wickets,4.0,127.0
Pune Warriors,Royal Challengers Bangalore,5,Pune Warriors,field,Royal Challengers Bangalore,Subrata Roy Sahara Stadium,runs,35.0,174.0
Chennai Super Kings,Delhi Daredevils,5,Chennai Super Kings,field,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",runs,27.0,183.0
Kolkata Knight Riders,Mumbai Indians,5,Mumbai Indians,bat,Mumbai Indians,Eden Gardens,wickets,9.0,115.0
Rajasthan Royals,Pune Warriors,5,Rajasthan Royals,bat,Rajasthan Royals,Sawai Mansingh Stadium,runs,45.0,171.0
Kings XI Punjab,Deccan Chargers,5,Deccan Chargers,bat,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",wickets,4.0,191.0
Kolkata Knight Riders,Chennai Super Kings,5,Chennai Super Kings,field,Chennai Super Kings,Eden Gardens,wickets,5.0,172.0
Royal Challengers Bangalore,Mumbai Indians,5,Mumbai Indians,field,Mumbai Indians,M Chinnaswamy Stadium,wickets,5.0,159.0
Delhi Daredevils,Kings XI Punjab,5,Kings XI Punjab,bat,Delhi Daredevils,Feroz Shah Kotla,wickets,5.0,137.0
Mumbai Indians,Kolkata Knight Riders,5,Mumbai Indians,field,Kolkata Knight Riders,Wankhede Stadium,runs,32.0,141.0
Delhi Daredevils,Royal Challengers Bangalore,5,Delhi Daredevils,field,Royal Challengers Bangalore,Feroz Shah Kotla,wickets,6.0,121.0
Kings XI Punjab,Chennai Super Kings,5,Kings XI Punjab,field,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,runs,21.0,216.0
Deccan Chargers,Rajasthan Royals,5,Rajasthan Royals,bat,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",wickets,5.0,127.0
Kings XI Punjab,Delhi Daredevils,5,Delhi Daredevils,field,Delhi Daredevils,Himachal Pradesh Cricket Association Stadium,wickets,6.0,142.0
Pune Warriors,Kolkata Knight Riders,5,Kolkata Knight Riders,bat,Kolkata Knight Riders,Subrata Roy Sahara Stadium,runs,34.0,137.0
Rajasthan Royals,Mumbai Indians,5,Rajasthan Royals,bat,Mumbai Indians,Sawai Mansingh Stadium,runs,9.0,133.0
Deccan Chargers,Royal Challengers Bangalore,5,Royal Challengers Bangalore,field,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",wickets,10.0,163.0
Delhi Daredevils,Kolkata Knight Riders,5,Kolkata Knight Riders,bat,Kolkata Knight Riders,Subrata Roy Sahara Stadium,runs,18.0,163.0
Chennai Super Kings,Mumbai Indians,5,Mumbai Indians,field,Chennai Super Kings,M Chinnaswamy Stadium,runs,38.0,188.0
Delhi Daredevils,Chennai Super Kings,5,Delhi Daredevils,field,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",runs,86.0,223.0
Kolkata Knight Riders,Chennai Super Kings,5,Chennai Super Kings,bat,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",wickets,5.0,191.0
Kolkata Knight Riders,Delhi Daredevils,6,Kolkata Knight Riders,field,Kolkata Knight Riders,Eden Gardens,wickets,6.0,129.0
Royal Challengers Bangalore,Mumbai Indians,6,Mumbai Indians,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,runs,2.0,157.0
Sunrisers Hyderabad,Pune Warriors,6,Pune Warriors,field,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",runs,22.0,127.0
Chennai Super Kings,Mumbai Indians,6,Mumbai Indians,bat,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",runs,5.0,166.0
Delhi Daredevils,Rajasthan Royals,6,Rajasthan Royals,bat,Rajasthan Royals,Feroz Shah Kotla,runs,9.0,149.0
Pune Warriors,Kings XI Punjab,6,Pune Warriors,bat,Kings XI Punjab,Subrata Roy Sahara Stadium,tie,,131.0
Rajasthan Royals,Kolkata Knight Riders,6,Kolkata Knight Riders,field,Rajasthan Royals,Sawai Mansingh Stadium,runs,19.0,145.0
Mumbai Indians,Delhi Daredevils,6,Mumbai Indians,bat,Mumbai Indians,Wankhede Stadium,runs,44.0,210.0
Royal Challengers Bangalore,Sunrisers Hyderabad,6,Sunrisers Hyderabad,bat,Royal Challengers Bangalore,M Chinnaswamy Stadium,wickets,7.0,162.0
Kings XI Punjab,Chennai Super Kings,6,Chennai Super Kings,field,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",wickets,10.0,139.0
Royal Challengers Bangalore,Kolkata Knight Riders,6,Royal Challengers Bangalore,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,wickets,8.0,155.0
Pune Warriors,Rajasthan Royals,6,Rajasthan Royals,bat,Pune Warriors,Subrata Roy Sahara Stadium,wickets,7.0,146.0
Delhi Daredevils,Sunrisers Hyderabad,6,Delhi Daredevils,bat,Sunrisers Hyderabad,Feroz Shah Kotla,wickets,3.0,115.0
Chennai Super Kings,Royal Challengers Bangalore,6,Chennai Super Kings,field,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",runs,41.0,184.0
Mumbai Indians,Pune Warriors,6,Mumbai Indians,bat,Mumbai Indians,Wankhede Stadium,wickets,4.0,166.0
Rajasthan Royals,Kings XI Punjab,6,Rajasthan Royals,field,Rajasthan Royals,Sawai Mansingh Stadium,runs,48.0,181.0
Kolkata Knight Riders,Sunrisers Hyderabad,6,Kolkata Knight Riders,bat,Kolkata Knight Riders,Eden Gardens,wickets,6.0,125.0
Chennai Super Kings,Pune Warriors,6,Pune Warriors,bat,Pune Warriors,"MA Chidambaram Stadium, Chepauk",runs,24.0,160.0
Kings XI Punjab,Kolkata Knight Riders,6,Kolkata Knight Riders,field,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",runs,4.0,158.0
Rajasthan Royals,Mumbai Indians,6,Rajasthan Royals,bat,Rajasthan Royals,Sawai Mansingh Stadium,runs,11.0,120.0
Pune Warriors,Sunrisers Hyderabad,6,Pune Warriors,field,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,runs,87.0,180.0
Delhi Daredevils,Chennai Super Kings,6,Chennai Super Kings,bat,Chennai Super Kings,Feroz Shah Kotla,runs,86.0,170.0
Sunrisers Hyderabad,Kings XI Punjab,6,Kings XI Punjab,bat,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",wickets,5.0,124.0
Kolkata Knight Riders,Chennai Super Kings,6,Kolkata Knight Riders,bat,Chennai Super Kings,Eden Gardens,wickets,4.0,120.0
Royal Challengers Bangalore,Rajasthan Royals,6,Royal Challengers Bangalore,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,wickets,7.0,118.0
Delhi Daredevils,Mumbai Indians,6,Mumbai Indians,bat,Delhi Daredevils,Feroz Shah Kotla,wickets,9.0,162.0
Kings XI Punjab,Pune Warriors,6,Kings XI Punjab,field,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",wickets,7.0,186.0
Chennai Super Kings,Rajasthan Royals,6,Rajasthan Royals,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",wickets,5.0,186.0
Delhi Daredevils,Kings XI Punjab,6,Kings XI Punjab,field,Kings XI Punjab,Feroz Shah Kotla,runs,130.0,264.0
Royal Challengers Bangalore,Pune Warriors,6,Pune Warriors,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,wickets,5.0,121.0
Kolkata Knight Riders,Mumbai Indians,6,Kolkata Knight Riders,bat,Mumbai Indians,Eden Gardens,wickets,5.0,160.0
Chennai Super Kings,Sunrisers Hyderabad,6,Sunrisers Hyderabad,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",wickets,5.0,160.0
Kolkata Knight Riders,Kings XI Punjab,6,Kings XI Punjab,bat,Kolkata Knight Riders,Eden Gardens,wickets,6.0,150.0
Rajasthan Royals,Sunrisers Hyderabad,6,Sunrisers Hyderabad,bat,Rajasthan Royals,Sawai Mansingh Stadium,wickets,8.0,145.0
Mumbai Indians,Royal Challengers Bangalore,6,Mumbai Indians,bat,Mumbai Indians,Wankhede Stadium,runs,58.0,195.0
Chennai Super Kings,Kolkata Knight Riders,6,Kolkata Knight Riders,field,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",runs,14.0,201.0
Delhi Daredevils,Pune Warriors,6,Pune Warriors,field,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,runs,15.0,165.0
Mumbai Indians,Kings XI Punjab,6,Mumbai Indians,bat,Mumbai Indians,Wankhede Stadium,wickets,4.0,172.0
Rajasthan Royals,Royal Challengers Bangalore,6,Rajasthan Royals,field,Rajasthan Royals,Sawai Mansingh Stadium,runs,4.0,175.0
Pune Warriors,Chennai Super Kings,6,Chennai Super Kings,bat,Chennai Super Kings,Subrata Roy Sahara Stadium,runs,37.0,165.0
Delhi Daredevils,Kolkata Knight Riders,6,Kolkata Knight Riders,bat,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,wickets,7.0,130.0
Sunrisers Hyderabad,Mumbai Indians,6,Mumbai Indians,bat,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",wickets,7.0,137.0
Pune Warriors,Royal Challengers Bangalore,6,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Subrata Roy Sahara Stadium,runs,15.0,187.0
Chennai Super Kings,Kings XI Punjab,6,Chennai Super Kings,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",runs,17.0,188.0
Kolkata Knight Riders,Rajasthan Royals,6,Rajasthan Royals,bat,Kolkata Knight Riders,Eden Gardens,wickets,8.0,133.0
Sunrisers Hyderabad,Delhi Daredevils,6,Delhi Daredevils,bat,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",wickets,6.0,81.0
Rajasthan Royals,Pune Warriors,6,Pune Warriors,bat,Rajasthan Royals,Sawai Mansingh Stadium,runs,60.0,140.0
Mumbai Indians,Chennai Super Kings,6,Mumbai Indians,bat,Mumbai Indians,Wankhede Stadium,wickets,5.0,179.0
Kings XI Punjab,Royal Challengers Bangalore,6,Kings XI Punjab,field,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",wickets,6.0,191.0
Rajasthan Royals,Delhi Daredevils,6,Delhi Daredevils,bat,Rajasthan Royals,Sawai Mansingh Stadium,wickets,9.0,155.0
Mumbai Indians,Kolkata Knight Riders,6,Mumbai Indians,bat,Mumbai Indians,Wankhede Stadium,runs,65.0,171.0
Sunrisers Hyderabad,Chennai Super Kings,6,Sunrisers Hyderabad,field,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",runs,77.0,224.0
Pune Warriors,Kolkata Knight Riders,6,Kolkata Knight Riders,bat,Kolkata Knight Riders,Subrata Roy Sahara Stadium,wickets,8.0,146.0
Kings XI Punjab,Rajasthan Royals,6,Rajasthan Royals,field,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",runs,46.0,153.0
Delhi Daredevils,Royal Challengers Bangalore,6,Delhi Daredevils,field,Royal Challengers Bangalore,Feroz Shah Kotla,runs,4.0,184.0
Pune Warriors,Mumbai Indians,6,Pune Warriors,bat,Mumbai Indians,Subrata Roy Sahara Stadium,wickets,5.0,113.0
Kings XI Punjab,Sunrisers Hyderabad,6,Kings XI Punjab,field,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",runs,30.0,151.0
Rajasthan Royals,Chennai Super Kings,6,Rajasthan Royals,field,Rajasthan Royals,Sawai Mansingh Stadium,wickets,5.0,116.0
Kolkata Knight Riders,Royal Challengers Bangalore,6,Kolkata Knight Riders,field,Kolkata Knight Riders,JSCA International Stadium Complex,wickets,5.0,142.0
Mumbai Indians,Sunrisers Hyderabad,6,Sunrisers Hyderabad,bat,Mumbai Indians,Wankhede Stadium,wickets,7.0,179.0
Chennai Super Kings,Delhi Daredevils,6,Chennai Super Kings,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",wickets,7.0,175.0
Royal Challengers Bangalore,Kings XI Punjab,6,Kings XI Punjab,field,Kings XI Punjab,M Chinnaswamy Stadium,runs,33.0,169.0
Mumbai Indians,Rajasthan Royals,6,Rajasthan Royals,field,Mumbai Indians,Wankhede Stadium,runs,7.0,171.0
Kolkata Knight Riders,Pune Warriors,6,Kolkata Knight Riders,field,Pune Warriors,JSCA International Stadium Complex,runs,14.0,167.0
Kings XI Punjab,Delhi Daredevils,6,Delhi Daredevils,field,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,runs,7.0,172.0
Sunrisers Hyderabad,Rajasthan Royals,6,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",runs,23.0,137.0
Royal Challengers Bangalore,Chennai Super Kings,6,Chennai Super Kings,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,runs,50.0,184.0
